Month Year,Average Premium
Apr 2002,38702.75
May 2002,36600.75
Jun 2002,32197.5
Jul 2002,30948.75
Aug 2002,31367.0
Sep 2002,29634.0
Oct 2002,31174.5
Nov 2002,28447.25
Dec 2002,26668.25
Jan 2003,27278.75
Feb 2003,31339.5
Mar 2003,27326.75
Apr 2003,27302.5
May 2003,30095.75
Jun 2003,31561.25
Jul 2003,32062.0
Aug 2003,30596.75
Sep 2003,28422.25
Oct 2003,28350.75
Nov 2003,26136.25
Dec 2003,23764.75
Jan 2004,23524.25
Feb 2004,23596.75
Mar 2004,25073.5
Apr 2004,27569.0
May 2004,27424.5
Jun 2004,29457.25
Jul 2004,27694.75
Aug 2004,26370.5
Sep 2004,26222.5
Oct 2004,23197.75
Nov 2004,21524.5
Dec 2004,20647.5
Jan 2005,17851.25
Feb 2005,17445.75
Mar 2005,19816.5
Apr 2005,17547.75
May 2005,16727.75
Jun 2005,16443.25
Jul 2005,16153.5
Aug 2005,16198.75
Sep 2005,15866.75
Oct 2005,12898.75
Nov 2005,14587.25
Dec 2005,12020.75
Jan 2006,9954.0
Feb 2006,10094.25
Mar 2006,12303.5
Apr 2006,12576.25
May 2006,10855.75
Jun 2006,10926.0
Jul 2006,10601.25
Aug 2006,12820.25
Sep 2006,13801.25
Oct 2006,12000.25
Nov 2006,13497.0
Dec 2006,12270.75
Jan 2007,12146.5
Feb 2007,8710.75
Mar 2007,13565.0
Apr 2007,14869.75
May 2007,17487.0
Jun 2007,17616.25
Jul 2007,16450.5
Aug 2007,14782.5
Sep 2007,18432.25
Oct 2007,16022.75
Nov 2007,16411.25
Dec 2007,13729.5
Jan 2008,13832.75
Feb 2008,13394.25
Mar 2008,16685.25
Apr 2008,17385.25
May 2008,14928.0
Jun 2008,14505.0
Jul 2008,14630.5
Aug 2008,13142.25
Sep 2008,12572.75
Oct 2008,11694.75
Nov 2008,5911.75
Dec 2008,5769.5
Jan 2009,2745.75
Feb 2009,2764.5
Mar 2009,5027.0
Apr 2009,7417.5
May 2009,8777.5
Jun 2009,12829.5
Jul 2009,16225.75
Aug 2009,15964.25
Sep 2009,18174.75
Oct 2009,18179.75
Nov 2009,17581.75
Dec 2009,18386.0
Jan 2010,20148.25
Feb 2010,21849.5
Mar 2010,27917.25
Apr 2010,37375.75
May 2010,31522.75
Jun 2010,35368.5
Jul 2010,36115.25
Aug 2010,36812.0
Sep 2010,37430.0
Oct 2010,38237.0
Nov 2010,41598.0
Dec 2010,57059.0
Jan 2011,51730.5
Feb 2011,48880.75
Mar 2011,51327.25
Apr 2011,49753.5
May 2011,51022.5
Jun 2011,58583.5
Jul 2011,63248.25
Aug 2011,58628.25
Sep 2011,56724.25
Oct 2011,61472.5
Nov 2011,66306.0
Dec 2011,61186.5
Jan 2012,57172.75
Feb 2012,65474.25
Mar 2012,68589.75
Apr 2012,74350.5
May 2012,74466.75
Jun 2012,71601.75
Jul 2012,75216.75
Aug 2012,80723.5
Sep 2012,74922.75
Oct 2012,76450.75
Nov 2012,84974.0
Dec 2012,86028.25
Jan 2013,93705.25
Feb 2013,87744.5
Mar 2013,67722.0
Apr 2013,63134.0
May 2013,64210.5
Jun 2013,73488.75
Jul 2013,75147.0
Aug 2013,76496.5
Sep 2013,81098.5
Oct 2013,85824.75
Nov 2013,77869.5
Dec 2013,73968.0
Jan 2014,75589.75
Feb 2014,75667.25
Mar 2014,79802.75
Apr 2014,77062.25
May 2014,65949.0
Jun 2014,64523.25
Jul 2014,63692.5
Aug 2014,67997.25
Sep 2014,67960.25
Oct 2014,68013.0
Nov 2014,69142.25
